                   x                    y
                   0    0.997197136340883
                   1    0.991449339230518
                   2    0.971935160774313
                   3     0.97725363853035
                   4    0.927575307982075
                   5    0.913016413777827
                   6    0.859743755210237
                   7    0.845727609450984
                   8    0.859361269451725
                   9    0.777453305909776
                  10    0.773644723726265
                  11    0.797001087316596
                  12    0.709775550700748
                  13    0.637877007632543
                  14    0.676102273234642
                  15    0.695103525971849
                  16    0.614880647885363
                  17    0.461366095553653
                  18    0.293283071027248
                  19    0.156864794284837
                  20   0.0698536133429667
                  21   0.0254584560802028
                  22  0.00712106504332768
                  23  0.00126914298422229
                  24 0.000899129954871066
                  25 0.000770837321071492
                  26 0.000469751396489765
                  27 0.000239612382163453
                  28 0.000108526946941478
                  29 4.48004980852244e-05
                  30 1.70736727479031e-05
                  31 6.04205024978874e-06
                  32 1.98642158266846e-06
                  33 6.03416484580496e-07
                  34 1.66790894052526e-07
                  35 4.03978231221164e-08
                  36 7.69018572746902e-09
                  37 7.90116472269909e-10
                  38 5.70428490383778e-10
                  39 3.87518359349521e-10
                  40 1.91587556807333e-10
                  41 8.15433609110432e-11
                  42 3.06407234028961e-11
                  43 1.38039082671238e-11
                  44 9.12230980809491e-12
                  45 4.83209536009502e-12
                  46  2.2642664650729e-12
                  47 1.36548565723593e-13
                  48 1.86605969956187e-14
                  49 3.03815878613626e-15
                  50 5.37982793891048e-16
                  51 1.00308267096235e-16
                  52 1.05663164201902e-17
                  53 4.11293608585938e-19
                  54                    0
                  55                    0
                  56                    0
                  57                    0
                  58                    0
                  59                    0
